,출원인,출원일,출원번호,astrtCont,bigDrawing,drawing,indexNo,발명명칭,IPC분류,openDate,openNumber,공개일,publicationNumber,등록일,registerNumber,등록상태,검색 키워드
607,국립순천대학교산학협력단,20221111,1020220150735,"본 발명은 모돈 돈사에 고정 설치되는 열화상 카메라와 연동하여 열화상 카메라에 의하여 측정된 열화상 이미지 데이터를 수집, 보정, 및 응용처리 등의 제반 기능을 수행하는 열화상 카메라와 오차보정 알고리즘을 적용한 돈사 모니터링 시스템 및 방법에 관한 것으로, 돈사 내 설치된 열화상 카메라로부터 촬영 영상을 획득하는 영상 획득부, 상기 영상 획득부로 획득한 촬영 영상에 기반하여 돈사 내 가축의 표면 온도를 감지하여 표면 온도 데이터를 도출하는 온도 감지부, 상기 온도 감지부에서 감지된 가축의 표면 온도 데이터에 대한 오차 보정 알고리즘을 생성하여 보정 기준을 생성하는 보정 기준 생성부, 상기 보정 기준 생성부에서 생성된 보정 기준에 따라 상기 온도 감지부에서 감지된 가축의 표면 온도 데이터를 보정하는 보정부, 상기 보정부에서 보정된 가축의 표면 온도가 기설정된 표준 온도 범주내에 포함는지를 파악하여 가축 이상 상태 발생 여부를 판별하는 이상 상태 판별부 및 이상 상태 판별부에서 가축 이상 상태 발생이 판별되면, 사용자 단말로 이상 상태 발생을 통보하는 이상 알림부를 포함하는, 열화상 카메라와 오차보정 알고리즘을 적용한 돈사 모니터링 시스템에 의해 열화상 카메라의 측정오차의 문제점을 해결하기 위한 오차 보정 알고리즘 제시하며 그에 따른 측정오차를 보정할 수 있는 방안을 제시할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934719fa4b079319211e7909e705454a41ee98ae3ae1f63cb62242df33e2e777c88f483e7c96e8ef709356cc98f09014efd8d6d2fe204f3dfb,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf79bddb8025c59b66341b88606bdce433510aff00586c22a599014f679c70d62ac283f03d1529daa96851b8e5c8c021f706883cfdb5dc345e,8,열화상 카메라와 오차보정 알고리즘을 적용한 돈사 모니터링 시스템 및 방법,G06Q 50/02|A01K 29/00|G06Q 50/10|G08B 21/18|G01J 5/48|G01J 5/80|H04N 5/33|H04N 7/18,20240520,1020240069329,20250801,,20250729,1028415270000,등록,알고리즘
608,주식회사 플랜터,20250225,1020250024682,"지능형 반도체는 머신 러닝, 딥 러닝, 강화학습과 같은 인공지능 알고리즘을 하드웨어 레벨에서 지원하도록 최적화된다. 이를 통해 더욱 빠른 데이터 처리와 다양한 인공지능 알고리즘을 효율적으로 수행할 수 있다. 기존 지능형 반도체의 한계는 특정 종류의 데이터에 특화되어 있어 다양한 데이터를 처리하는 데 어려움이 있으며, 전체적인 성능 향상에도 제한이 있다.  상기 목적을 달성하기 위한 본 발명의 일 실시예에 따른 가중치 기반 스위칭 알고리즘을 적용한 속도 개선 다목적 지능형 반도체를 포함하는 스마트 홈 시스템은, 입력 데이터를 제1 및 제2 지능형 반도체에 전달하는 데이터 스위치, 제1 및 제2 지능형 반도체에서 입력 데이터의 처리된 데이터를 비교하여, 둘 중 우수한 지능형 반도체를 선택하는 비교 및 선택 모듈, 선택된 지능형 반도체보다 더 우월한 성능의 가상으로 설계된 지능형 반도체를 모의실험하는 시뮬레이션 모듈, 선택된 지능형 반도체 및 가상으로 설계된 지능형 반도체를 각각 유사 데이터의 실제 성능과 가상 성능에 기초하여 재현 여부를 검증하는 가상 검증 모듈,을 포함하고, 시뮬레이션 모듈은, 가상 검증 모듈에 의하여 검증된 가상 성능에 기초하여, 가상으로 설계된 지능형 반도체보다 더 우월한 제2 및 제3의 가상으로 설계되는 지능형 반도체을 더 설계하고, 멀티쓰레딩(multithreading)을 기초...(이하생략)",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e2460cc43c4912a91bf8685861b9c93331c52d00ac433e52f5e434dd7a581428da1b959806a5ee19f47ec6b2d7274f4a95ad1ddddff4a4ea,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf1a92421762e336f972b6b319cf47634e53817644d29347f4127930f535b82b7537017b9ced7737792d5e9f103e67289db602321d20bfe1f1,9,가중치 기반 스위칭 알고리즘을 적용한 속도 개선 다목적 지능형 반도체를 포함하는 스마트 홈 시스템,G06F 30/3308|G06F 30/27|G09B 9/00,20250305,1020250029861,,,,,공개,알고리즘
609,케이에스아이 주식회사,20210330,1020210041301,"실시예는 인공지능 알고리즘을 이용한 차량번호판 인식 방법에 관한 것이다.  구체적으로, 이러한 방법은 다양한 차량과, 번호판, 주변환경을 반영한 영상깊이 기초의 차량번호판 3차원 학습모델로부터 차량과, 번호판을 3차원 객체화해서 차량번호판을 현장상황에 맞게 인식하므로, 종래 색채방식보다 데이터 처리량이 적고 인식율도 높인다.  예를 들어, 안개와, 미세먼지 등 기상상황이 평상시와 상이한 경우에서도 인식율을 높인다.  그리고, 이러한 경우 이러한 차량번호판 3차원 학습모델은 다양한 장소와, 시간대, 주변환경별로 관련된 데이터를 속성화하므로, 인식율을 보다 높이기도 한다.  또한, 이러한 경우에, 차량과, 번호판의 3차원 객체별로 맞는 타원의 방정식을 상이하게 사용하여 차량과, 번호판을 추출하므로, 종래보다 적은 디지털 부호량으로 다양한 형태의 깊이 영상을 표현해서 인식 처리를 신속하게 한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ed6c3a8f062f30889028e49f980f3a6ba47957cd48d7e37574061705b6c532792e645024606b08a2eeeeeac00873de74c3fcc97d2af99175,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf26dd5c26ff3cfa3a56ee99d85a5cdaf4faf0db186af44929e339bd8f4f630b83fff20b014cb04dbc1e66e74015489bf26aa58d72763a6a21,10,인공지능 알고리즘을 이용한 차량번호판 인식 방법,G06V 10/24|G06F 18/00|G06N 20/00|G08B 21/18|H04L 9/40|H04L 9/06,,,20210702,,20210628,1022722790000,등록,알고리즘
610,아주대학교산학협력단,20230601,1020230071100,"본 발명은 동적(動的) 장애물 자동 회피가 가능한 무인기 및 그 회피 방법에 대한 것으로서, 보다 상세하게는 인공지능 알고리즘을 이용하여 동적(動的) 장애물 자동 회피가 가능한 무인기 및 그 회피 방법에 대한 것이다. 본 발명의 일 실시예에 따른 무인기는, 미리 설정된 방법에 따라 장애물을 탐지하여 탐지정보를 생성하는 장애물 탐지부, 제어정보에 따라 기동되는 무인기 기동부, 미리 설정된 방법에 따라 강화학습된 인공지능 알고리즘이 저장되는 메모리 및 프로세서를 포함하되, 메모리는 프로세서에 의해 실행 가능한, 탐지정보를 기반으로 장애물에 상응하는 장애물정보를 생성하고, 장애물정보를 인공지능 알고리즘에 입력하여 속도정보를 생성하며, 속도정보를 이용하여 제어정보를 생성하는 프로그램 명령어들을 저장할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93c77104924888ba895126d1ad8b7485f82670d89bdd87b5b6cbafe9a0014bb2dc1223737b7cfc24d58a6507b601aed3dd4f1d93b9fa94985e,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf5d2dd6f4b82256526c53857249964e1ce681c3e7da395dd7548db7e2aa0c52caa9614e14d06472bdb6946ba863b72ef5ce13e22020a33e06,11,강화학습 인공지능 알고리즘을 이용한 장애물 회피 무인기 및 그 회피 방법,B64U 10/13|B64C 39/02|G05D 1/628|G05D 1/46|G06N 3/092|G05D 109/25,20241210,1020240172582,,,,,공개,알고리즘
611,"어플라이드 머티어리얼스, 인코포레이티드",20110215,1020127024292,"본 명세서에는 가상 계측을 위해 적응성 예측 알고리즘들을 결정하기 위한 방법들, 장치들 및 시스템들이 설명된다. 일부 실시예들에서, 컴퓨터로 구현되는 방법은 복수의 예측 알고리즘들을 식별한다. 이 방법은 제조 설비에서 하나 또는 둘 이상의 가상 계측 변수들을 예측하기 위해, 복수의 예측 알고리즘들 중 하나 또는 둘 이상을 사용할 시기를 결정한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00170edca81f461669f610a46d8eec741bfc2a7c6a0fb82b4c99f1dad53d4f91e283a8710ecfaebf6f9712e9d8368960340ee8c1d56ac0f5ec,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfb422f6fad962914d44c469dfcadee187ff85656a68f83944eb2d757ebede9d40e6a3fe613ce3b94b52d0921bcedbb9bf536fe86e10cb38db,12,적응성 예측 알고리즘들을 사용하고 가상 계측을 위해 적응성 예측 알고리즘들을 사용할 시기를 결정하기 위한 방법들 및 장치들,G06N 5/04|G06Q 50/04|G05B 23/02|G05B 13/02,20130116,1020130006455,20170830,,20170810,1017690640000,등록,알고리즘
612,충남대학교산학협력단,20190628,1020190078160,"본 발명은 잠수함 잠항 시 함미부력탱크의 벤트 밸브의 개폐상태를 제어하여 충수시간이 지연되도록 함으로써, 함미트림이 발생되지 않고 평형 상태를 유지하면서 실시간 모멘트가 기준 모멘트를 유지하면서 중성부력상태에서의 모멘트에 도달하는지 여부와, 중성부력상태 도달 시간이 잠항 완료 시간을 충족하는지 여부를 정확히 시뮬레이션할 수 있는 공압 밸브 조절 알고리즘을 이용한 잠수함의 잠항 시 자세 제어 시뮬레이션 방법에 관한 것이다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e007862f4ffbbf0ee315212f24e24b40c4fa01a6257684f680f531ea110270018dcef1dfff4093c47d78888acc17d30d5771827824c1b0ab9b8,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf15aeaaa3dd226a729ab5c06f0f5bbfc2d99a6552c3aed3f4dcfcf95ad69826d9b672c3ef92abb55dffcbf7446f6546151f58e18626df9d19,13,공압 밸브 조절 알고리즘을 이용한 잠수함의 잠항 시 자세 제어 시뮬레이션 방법,B63G 8/00|G06F 30/00,,,20200911,,20200907,1021554540000,등록,알고리즘
613,(주)부성리싸이클링,20130222,1020130019331,"본 발명은 시각장애인이 블록 및 도포선을 따라 보행할 시에 블록 및 도포선에 설치된 RFID/NFC태그를 무선으로 인식하여 진행방향을 음성으로 알림은 물론 진행 방향의 전환시 방향 전환에 따른 진행방향정보를 음성으로 제공하고, 보행동선의 분기점, 대기점, 목적지점 등의 위치음성정보 및 위험지역의 음성정보의 제공이 가능하도록 한RFID/NFC에 고유번호를 부여한 알고리즘 점자블록 시각장애인 안내유도시스템 및 안내방법에 관한 것으로, 보도 또는 실내에 설치되는 점자블록과; 상기 점자블록에는 시각장애인이 이동하는 방향에 따라 지팡이와 통신을 통해 위치 값을 읽어들여 진행방향에 따른 위치를 음성으로 알릴 수 있도록 순번 및 위치 값이 설정된 특정 알고리즘 데이터가 수록된 RFID/NFC태그와; 시각장애인의 현재 위치를 파악할 수 있도록 점자블록이 교차되는 부분에 교차로블록으로 이루어지는 블록이 구성되는 것을 특징으로 하고, 시각장애인이 소지한 지팡이와 보도에 설치된 점자블록의 RFID/NFC와 적어도 2개 이상 통신이 이루어지면, 지팡이에서 시각장애인이 전, 후, 좌, 우 분기점, 대기점, 위험지역을 음성을 통해 알려 진행방향 또는 역방향으로 진행하여도 그 방향에 따른 상황을 알려주므로 시각장애인의 이동이 매우 편리해지는 효과가 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e001654bcc7c624596a62b35a712f3a4e98868865f7aad313c341fcbd99920217f60c31864751939726277a2148070b804b54ad71c3d45b4eaa,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfc34e880521b74a4a73c502923f3d7180ad645ca6fe35ecc5a06b450d44ad1820cee9d7038168c0aa4f5309f445550500135e9f4a318406ea,14,RFID/NFC태그에 고유번호를 부여한 알고리즘 점자블록 시각장애인 안내유도시스템 및 안내방법,A61H 3/06|G06K 19/077,,,20140812,,20140804,1014287160000,등록,알고리즘
614,충남대학교산학협력단,20161129,1020160160697,"SVM 알고리즘 기반 음성 틱 증상 감지 장치를 제공한다. 본 발명의 일 실시예에 따른 SVM 알고리즘 기반 음성 틱 증상 감지 장치는 복수의 틱 증상 음성데이터, MFCC(Mel-frequency Cepstral Coefficients) 특징 벡터 및 SVM(support vector machine) 지도 학습 알고리즘에 기반하여, 음성 틱 증상 감지 모델을 생성하는 학습부; 사용자로부터 음성 틱 증상을 검사하기 위한 대상음성데이터를 입력받는 입력부; 및 상기 음성 틱 증상 감지 모델에 기초하여, 상기 대상음성데이터가 음성 틱 증상에 해당하는지 판단하는 진단부를 포함한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00f60f43ba4dc9fdc0bdbb29fc9bd185dd2b747036e46bf962ccdd40f6b7032586e6c0b6f8d8d7ecac906da15fe8a9bb790bf12dcad7b3a4b2,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfd5ba8046861643df0c61112d6ed34837c49809e4e57c90cfb57aee66eb7261d86d417e569475aa3d1c4b67b9613dbc45f13c9a3c320fe7d6,15,SVM 알고리즘 기반 음성 틱 증상 감지 방법 및 장치,A61B 5/00|G06N 99/00,20180607,1020180060794,,,,,취하,알고리즘
615,전남대학교산학협력단|한양대학교 에리카산학협력단,20240123,1020240010094,"본 개시는 강화학습 에이전트와 예측기를 결합하여 신호의 지연 시간을 알 수 없는 상황에서도 지연 없는 신호의 추정이 가능한, 시간 지연 신호 보상을 위한 심층 강화학습 알고리즘 기반의 로봇 시스템 및 로봇 제어 시스템에 관한 것으로, 로봇 매니퓰레이터의 관절 각을 포함하는 지령 신호를 입력받아 토크 신호를 생성하고, 상기 토크 신호를 로봇 매니퓰레이터 시스템으로 전송하는 피드백 선형화 제어기; 상기 로봇 매니퓰레이터 시스템으로부터 센싱된 관절 각을 포함하는 로봇 상태 정보를 d만큼의 시간 지연 후 공급받고, 상기 d의 추정값에 해당하는 추정 지연 시간을 산출하는 강화학습 에이전트; 및 상기 로봇 매니퓰레이터 시스템으로부터 상기 d만큼의 시간 지연 후 공급된 로봇 상태 정보 및 상기 강화학습 에이전트로부터의 추정 지연 시간을 근거로, 추정하고자 하는 관절 각의 추정값에 해당하는 추정 관절 각 및 추정 관절 각속도를 산출하여 상기 피드백 선형화 제어기로 제공하는 예측기를 포함할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e551744fcad1b183da6d83200a3d33678e3226855802f9b043aa0b78f35814ade94393ac98214b6701157d7d1bae09d0a019f2fb5b4e910e,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf5d70042457c04dabe5ebce9341f57cbe9bb1a6d6107a0deadf555f102b388cc80384a0b3bc2bdd771a6997002b2ef2301ed8b1dd17ee31e0,16,시간 지연 신호 보상을 위한 심층 강화학습 알고리즘 기반의 로봇 시스템 및 로봇 제어 시스템,B25J 9/16|G06N 3/092,20250730,1020250115094,,,,,공개,알고리즘
616,콴텍 주식회사,20220729,1020220094767,"서버의 동작 방법은, 투자 자산의 포트폴리오에 따라 자금을 운용하는 알고리즘에 대한 심사 요청을 수신하는 단계; 상기 알고리즘의 사전 정보에 기초하여, 상기 알고리즘이 운용 기준을 충족하는지 확인하는 단계; 상기 알고리즘이 상기 운용 기준을 충족하면, 상기 알고리즘을 이용하여 미리 정해진 자금을 운용함으로써, 상기 알고리즘의 동작을 모니터링 하는 단계; 및 상기 모니터링의 결과가 미리 설정된 심사 평가 기준을 충족하면, 상기 알고리즘을 투자 상품으로 등록하는 단계를 포함할 수 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93620fc635aa7be36b52daec3fb6cda990732847bd7d8ac4d22e1b547c74a94b41411e08f9e8ee926d315b40e7464f7a96871558e8ea7d77bb,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfdcb19a5a772fd2b3e0e86150586d0963b3af00a794920cc2c4a20062ea2894acd3f92ccd3083b8ff1ca8e239cd62031b95efa6c2315d71ca,17,"포트폴리오에 기반한 알고리즘을 생성하고, 알고리즘을 심사하는 방법 및 시스템",G06Q 40/06|G06Q 10/06|G06F 11/30|G06F 11/36,20240206,1020240016697,,,,,거절,알고리즘
617,영남대학교 산학협력단,20240123,1020240010126,"본 발명은 전기자동차의 듀얼모터 EVT의 구동력 분배알고리즘에 관한 것으로서, 더욱 상세하게는 유성기어의 sun gear와 ring gear에 2개의 구동모터가 연결되어 있으며, carrier로 출력된 토크는 구동 시스템의 차동기어와 차량의 바퀴로 힘이 전달된다. 따라서 본 발명은 유성기어의 carrier에 운전자가 원하는 출력을 만들기 위해 유성기어의 sun gear와 ring gear에 연결된 구동모터 토크를 분배하는 알고리즘이다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e551744fcad1b183da6d83200a3d33678e3226855802f9b03b22b04a6218bf146290f667bbc1fb6faf69545ec0862be886d0744edcd6151e,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf5d70042457c04dabe5ebce9341f57cbe9bb1a6d6107a0deafe311e070f0e5aface985d9f72ac22aed8ac6c095e06b497d4d404130ffc03d1,18,전기 자동차의 듀얼모터 EVT의 구동력 분배 알고리즘,B60L 15/20|B60K 17/04|B60K 1/02|G06F 30/20,20250730,1020250115111,,,,,공개,알고리즘
618,충남대학교산학협력단,20190311,1020190027511,"본 발명은 농작업용 트랙터에 관한 것으로, 자율주행을 위한 높이 센싱 알고리즘을 이용한 자율주행가능한 트랙터에 관한 것으로, 본 발명에 따른 트랙터는 트랙터의 전방에 설치되는 스테레오 카메라 및 상기 트랙터의 자율주행을 위한 자율주행용 제어부를 구비하고, 스테레오 카메라는 트랙터의 자율주행시 전방의 물체를 스테레오방식으로 촬영하도록 구성되고, 자율주행용 제어부는 상기 스테레오 카메라로부터 입력되는 적어도 2개의 스테레오 영상에 기반하여 전방 물체의 높이를 계산하도록 구성되고, 계산된 전방 물체의 높이에 기반하여 트랙터의 자율주행을 계속 진행할 것인지 트랙터의 자율주행을 정지할 것인지를 판단하도록 구성된다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c932b3fb71c30eb5abf58676a1903d5c71df3c2998a17867907bffc8f50aa72291423e22ebea3dc1247a40c08064af073beaaa5494eb55832ef,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf9a14b8ef45e65e5e8545b12653a6bffe2b215989c3147bd51f9537ce400f36717325c30694bb5544627d5eafda4f237a35b3c302b8c3406c,19,높이 센싱 알고리즘을 구비한 자율주행 트랙터,A01B 69/00|A01B 69/04,20200922,1020200108949,20210412,,20210405,1022382630000,등록,알고리즘
619,케이엘에이 코포레이션,20171017,1020197013523,"검사 관련 알고리즘을 트레이닝하기 위한 방법 및 시스템이 제공된다. 하나의 시스템은 레이블링된(labeled) 결함 세트로 검사 관련 알고리즘의 초기 트레이닝을 수행함으로써, 상기 검사 관련 알고리즘의 초기 버전을 생성하고, 상기 검사 관련 알고리즘의 초기 버전을 레이블링되지 않은 결함 세트에 적용하도록 구성된 하나 이상의 컴퓨터 서브시스템을 포함한다. 컴퓨터 서브시스템(들)은 상기 적용의 결과에 기초하여 상기 레이블링된 결함 세트를 변경하도록 또한 구성된다. 그 후 컴퓨터 서브시스템(들)은 알고리즘의 가장 최근 버전과 이전 버전에 의해 생성된 결과들 사이의 하나 이상의 차이가 하나 이상의 기준을 만족할 때까지 반복적으로 상기 검사 관련 알고리즘을 재트레이닝하고 상기 레이블링된 결함 세트를 변경한다. 상기 하나 이상의 차이가 하나 이상의 기준을 만족할 때, 상기 검사 관련 알고리즘의 가장 최근 버전이 트레이닝된 알고리즘으로서 출력된다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e8b0d9e7e5b8dd2f6180a94e50b23dd87e0adc4c5ac0dfd62ab09217bb1afd58d2dfdb590a98dd07b6eb473195e76e4a6509f1912fe8ed05,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf0c738515f19d9fdf6f57bb07ad1dccf5348ce3cb48ff4afb0207db59aa04becb5c1e382469e3b3fefc1d4884beb9babb4572807e02b90912,20,검사 관련 알고리즘을 설정하는데 사용되는 트레이닝 세트의 최적화,H01L 21/66,20190528,1020190057402,20210824,,20210819,1022937890000,등록,알고리즘
620,주식회사 에스브이씨|김기덕,20220214,1020220019047,"본 발명은 인공지능 학습에 의한 능동제어 고장진단 가동상태 모니터링이 가능한 스마트밸브 시험 장치에 관한 것으로서, 더욱 상세하게는 밸브유닛이 설치된 유로의 유체 압력과 온도와 유량을 제어하며 시험조건을 만들고, 밸브 유닛을 통과하는 유체의 측정데이터를 인공지능 알고리즘으로 학습하며, 학습된 인공지능 알고리즘 모델이 적용된 밸브유닛의 동작을 확인하는 스마트밸브를 시험하는 장치에 관한 것이다.  상기 목적을 달성하기 위하여, 본 발명에 따른 인공지능 알고리즘 기반 스마트밸브 시험 장치는, 내부에 유체가 저장되는 유체탱크(10); 상기 유체탱크(10)에 연결되어 상기 유체를 가압하는 펌프부(20); 상기 펌프부(20)를 통하여 가압된 상기 유체의 유로를 형성하는 유로부(30); 상기 유로부(30) 상에 설치되는 밸브유닛(40); 상기 유로부(30) 상에 설치되어 상기 유체의 압력을 측정하는 압력계(51)와, 온도를 측정하는 온도계(52)와 유량을 측정하는 유량계(53)가 구비되는 계측부(50); 상기 밸브유닛(40)의 플랜지 일측에 설치되며, 상기 유체의 압력을 측정하는 압력센서(61)와, 온도를 측정하는 온도센서(62)가 구비되는 센서부(60); 및 상기 센서부(60)에서 측정된 상기 유체의 압력과 온도를 통하여 계산된 유량값을 출력하는 계산부(71)가 구비되며, 상기 계산된 유량값으로 상기 유량계(...(이하생략)",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c932f007cdb9c7aa0a6dc43991146f2849d211b46f7c4c657c7a978c4c26170105a1f4f5233f2bb2bc657dff2dc7486fe95fe65559be29f7041,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfd5f980efd5850ff6f083120edc2812c9abd03c262aee030c714c5cc13456d60668ac0d7f833db1fdfdc03a6b049e93a7f38c43fcd0a40fce,21,인공지능 알고리즘 기반 스마트밸브 시험 장치,F16K 37/00|G01M 13/003,,,20220708,,20220704,1024183130000,등록,알고리즘
621,(주) 인터마인즈,20220602,1020220067378,"본 발명의 일 실시예에 따른 상품 판매개수 산출방법은, 상품의 표준무게 및 미리 설정된 보정지수를 메모리에 저장하고, 상품수납부의 문이 열리면, 카메라 및 무게측정 센서를 포함한 외부장치로부터 제1 상품정보를 수신하는 단계와 상기 상품수납부의 문이 닫히면, 상기 외부장치로부터 제2 상품정보를 수신하는 단계와 상기 제1 상품정보 및 상기 제2 상품정보 각각에 포함된 무게정보를 기초로 절대연산을 수행하여 상기 상품의 판매개수를 산출하는 단계와 상기 제2 상품정보를 기초로 미리 결정된 오류검출 알고리즘에 따라 오류가 발생한 것으로 판단되면, 상기 절대연산을 중단하고, 상기 제1 상품정보 및 상기 제2 상품정보 각각에 포함된 상기 무게정보 차이 값을 기초로 상대연산을 수행하여 상기 상품의 판매개수를 산출하는 단계와 상기 외부장치로부터 수신한 로드셀의 기울기 정보에 기초하여 상기 보정지수를 변경하여 상기 오류가 해소된 것으로 판단되면, 상기 상대연산을 중단하고 상기 절대연산을 다시 수행하는 단계를 포함한다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93dd6edd2fc43ac2d9327550729c83392ae8925660f2981dab72b27c092f9de384b881535cf5ccc552755503f913e4aa9ea703e09ba42fca15,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfaa4a7dd825cf0a00b157f0dad2162651d008500559836aa559e95e92c05b2f9de623d96355371272d40d83de2c2909099e3dbccbf8078d2f,22,상품인식 알고리즘을 통한 상품 판매개수 산출방법 및 산출장치,G07F 9/00|G01G 3/14|H04N 23/00|G06V 20/64|G06V 10/764|G06V 10/82|G06N 20/00|G06Q 30/06,,,20220826,,20220822,1024364940000,등록,알고리즘
622,남기원,20231226,1020230191642,"본 발명은 AI 평가 알고리즘을 기반으로 한 트레이닝 시스템 및 그 방법에 관한 것으로, 원곡 앨범데이터 또는 원곡 뮤직비디오를 기준데이터로 하여, 트레이닝에 참여하고자 하는 유저가 업로드한 커버데이터를 각 악보 마디별로 비교 분석하고, 이를 통해 각 마디별로 해당 유저에 대한 점수를 부여하고, 그 점수를 전체 참가 유저에 대한 위치를 백분율로 환산하여 제공하고, 이를 바탕으로 전체 커버데이터에 대한 스타성 지수를 각 커버데이터별로 제공함으로써 취약한 마디별 집중 트레이닝이 우수한 다른 타인 유저가 올린 해당 마디의 커버 데이터를 통해 비교 학습하게 하고, 스타성 지수나 마디별 백분율의 개선 추구가 유저에게 강한 동기가 되게 하는 AI 평가 알고리즘을 기반으로 한 트레이닝 시스템 및 그 방법을 제공함에 그 목적이 있다.",http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93662e3a8b4644c13eb2c2047433436868e080543d16400e68ffd99dcb09dfc10fbd1b4d465f736f67471d70328a2f8f57d3f3c276434aac01,http://plus.kipris.or.kr/kiprisplusws/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf4d2c3b86128be890338773f8999fbe15e23e85605aa6bf442b152962150e19daef3d0fc6e2b381365f68044fe888ce6555f9e4430e427264,23,AI 평가 알고리즘을 기반으로 한 트레이닝 시스템 및 그 방법,G06Q 50/10|G06Q 50/00|G06Q 50/50|G06N 3/08|G06F 16/906|G06T 7/20|G06Q 10/10|G10H 1/36,20250704,1020250100873,,,,,공개,알고리즘
